File	Time	Song	Artist	Release	YouTube	Spotify	Unearthed
requestival_27	10:05pm	HEART ATTACK {Ft. lau.ra}	BRONSON	BRONSON 	https://www.youtube.com/results?search_query=BRONSON%20HEART%20ATTACK%20{Ft.%20lau.ra}	https://play.spotify.com/search/results/artist:BRONSON%20track:HEART%20ATTACK%20%7BFt.%20lau.ra%7D	NA
requestival_27	10:09pm	POISON	CODY JON	POISON 	https://www.youtube.com/results?search_query=CODY%20JON%20POISON	https://play.spotify.com/search/results/artist:CODY%20JON%20track:POISON	https://www.triplejunearthed.com/node/8545856
requestival_27	10:14pm	The Sea Is Rising	Bliss N Eso	Flying Colours 	https://www.youtube.com/results?search_query=Bliss%20N%20Eso%20The%20Sea%20Is%20Rising	https://play.spotify.com/search/results/artist:Bliss%20N%20Eso%20track:The%20Sea%20Is%20Rising	NA
requestival_27	10:19pm	I Need A Woman	Hockey Dad	Boronia 	https://www.youtube.com/results?search_query=Hockey%20Dad%20I%20Need%20A%20Woman	https://play.spotify.com/search/results/artist:Hockey%20Dad%20track:I%20Need%20A%20Woman	https://www.triplejunearthed.com/node/245451
requestival_27	10:26pm	Mind {Ft. Kai}	Jack U	Mind 	https://www.youtube.com/results?search_query=Jack%20U%20Mind%20{Ft.%20Kai}	https://play.spotify.com/search/results/artist:Jack%20U%20track:Mind%20%7BFt.%20Kai%7D	NA
requestival_27	10:37pm	circle the drain	Soccer Mommy	circle the drain 	https://www.youtube.com/results?search_query=Soccer%20Mommy%20circle%20the%20drain	https://play.spotify.com/search/results/artist:Soccer%20Mommy%20track:circle%20the%20drain	NA
requestival_27	10:41pm	Runaway	SAFIA	Story's Start Or End 	https://www.youtube.com/results?search_query=SAFIA%20Runaway	https://play.spotify.com/search/results/artist:SAFIA%20track:Runaway	https://www.triplejunearthed.com/node/210266
requestival_27	10:48pm	How Come You Don't Pick Up Your Phone	Chelsea Warner	How Come You Don't Pick Up Your Phone 	https://www.youtube.com/results?search_query=Chelsea%20Warner%20How%20Come%20You%20Don%27t%20Pick%20Up%20Your%20Phone	https://play.spotify.com/search/results/artist:Chelsea%20Warner%20track:How%20Come%20You%20Don't%20Pick%20Up%20Your%20Phone	NA
requestival_27	10:51pm	1985	Bowling For Soup	A Hangover You Don't Deserve 	https://www.youtube.com/results?search_query=Bowling%20For%20Soup%201985	https://play.spotify.com/search/results/artist:Bowling%20For%20Soup%20track:1985	NA
requestival_27	10:57pm	Hit Me Up	Omar Apollo	Hit Me Up 	https://www.youtube.com/results?search_query=Omar%20Apollo%20Hit%20Me%20Up	https://play.spotify.com/search/results/artist:Omar%20Apollo%20track:Hit%20Me%20Up	NA
