DateTime	Song	Artist	Release	IsUnearthed	UnearthedURL	SpotifyQuery	SpotifyURL	YouTubeQuery	YouTubeURL	SpotifyID	HasSpotify	Duration	Explicit	Popularity	IsMajor	Loudness	Tempo	Valence	Energy	Danceability	Speechiness	Acousticness	Liveness
2020-05-24T21:09:00Z	Move Along	The All-American Rejects	Move Along	FALSE	NA	artist:The%20All-American%20Rejects%20track:Move%20Along	https://play.spotify.com/search/results/artist:The%20All-American%20Rejects%20track:Move%20Along	The%20All-American%20Rejects%20Move%20Along	https://www.youtube.com/results?search_query=The%20All-American%20Rejects%20Move%20Along	58HpsDKeYoLtNhXFQyQmz5	TRUE	238880	FALSE	58	TRUE	-3.866	109.86	0.615	0.92	0.526	0.0472	1.24e-4	0.371
2020-05-24T21:15:00Z	The Glow	DMA'S	The Glow	FALSE	NA	artist:DMA'S%20track:The%20Glow	https://play.spotify.com/search/results/artist:DMA'S%20track:The%20Glow	DMA%27S%20The%20Glow	https://www.youtube.com/results?search_query=DMA%27S%20The%20Glow	5TZ5B2A2i5O6mM3TfawOgb	TRUE	174266	FALSE	52	TRUE	-4.089	149.951	0.762	0.907	0.413	0.0381	1.3e-5	0.249
2020-05-24T21:19:00Z	Bags	Clairo	Immunity	FALSE	NA	artist:Clairo%20track:Bags	https://play.spotify.com/search/results/artist:Clairo%20track:Bags	Clairo%20Bags	https://www.youtube.com/results?search_query=Clairo%20Bags	6UFivO2zqqPFPoQYsEMuCc	TRUE	260519	FALSE	69	TRUE	-7.694	104.996	0.868	0.546	0.742	0.0315	0.172	0.115
2020-05-24T21:25:00Z	Good For You	Spacey Jane	Good For You	TRUE	https://www.triplejunearthed.com/node/6016761	artist:Spacey%20Jane%20track:Good%20For%20You	https://play.spotify.com/search/results/artist:Spacey%20Jane%20track:Good%20For%20You	Spacey%20Jane%20Good%20For%20You	https://www.youtube.com/results?search_query=Spacey%20Jane%20Good%20For%20You	50ODnqSpPJxnF7ECTdZJRy	TRUE	174760	FALSE	56	TRUE	-4.736	174.962	0.933	0.896	0.436	0.0384	5.54e-5	0.165
2020-05-24T21:28:00Z	All Night	Chance The Rapper	All Night	FALSE	NA	artist:Chance%20The%20Rapper%20track:All%20Night	https://play.spotify.com/search/results/artist:Chance%20The%20Rapper%20track:All%20Night	Chance%20The%20Rapper%20All%20Night	https://www.youtube.com/results?search_query=Chance%20The%20Rapper%20All%20Night	60xaS8mYBKUW4VQQ666N0T	TRUE	141542	TRUE	68	TRUE	-5.729	111.921	0.392	0.777	0.704	0.195	0.0358	0.151
2020-05-24T21:35:00Z	Gemini	What So Not	Gemini	FALSE	NA	artist:What%20So%20Not%20track:Gemini	https://play.spotify.com/search/results/artist:What%20So%20Not%20track:Gemini	What%20So%20Not%20Gemini	https://www.youtube.com/results?search_query=What%20So%20Not%20Gemini	6sjtHq6EueMR7otphregK5	TRUE	270257	FALSE	52	FALSE	-6.747	145.99	0.189	0.687	0.488	0.0676	0.233	0.107
2020-05-24T21:40:00Z	Purple Pills	D12	Purple Pills	FALSE	NA	artist:D12%20track:Purple%20Pills	https://play.spotify.com/search/results/artist:D12%20track:Purple%20Pills	D12%20Purple%20Pills	https://www.youtube.com/results?search_query=D12%20Purple%20Pills	5IweeQZdY5XEzStLzUJG5t	TRUE	304506	TRUE	66	TRUE	-5.941	125.25	0.754	0.634	0.78	0.16	0.0199	0.29
2020-05-24T21:47:00Z	Beware The Dog	The Griswolds	Be Impressive	TRUE	https://www.triplejunearthed.com/node/199446	artist:The%20Griswolds%20track:Beware%20The%20Dog	https://play.spotify.com/search/results/artist:The%20Griswolds%20track:Beware%20The%20Dog	The%20Griswolds%20Beware%20The%20Dog	https://www.youtube.com/results?search_query=The%20Griswolds%20Beware%20The%20Dog	61vNcguCIlCL5iedPVu1gj	TRUE	201467	TRUE	34	TRUE	-4.519	129.907	0.72	0.888	0.717	0.107	0.144	0.0711
2020-05-24T21:51:00Z	Painkiller	Ruel	Painkiller	FALSE	NA	artist:Ruel%20track:Painkiller	https://play.spotify.com/search/results/artist:Ruel%20track:Painkiller	Ruel%20Painkiller	https://www.youtube.com/results?search_query=Ruel%20Painkiller	1abFkY2jm6KDFMZ7RD9YJh	TRUE	213597	FALSE	70	TRUE	-6.508	128.927	0.439	0.414	0.675	0.0569	0.105	0.192
2020-05-24T21:56:00Z	Pussy Is God	King Princess	Pussy Is God	FALSE	NA	artist:King%20Princess%20track:Pussy%20Is%20God	https://play.spotify.com/search/results/artist:King%20Princess%20track:Pussy%20Is%20God	King%20Princess%20Pussy%20Is%20God	https://www.youtube.com/results?search_query=King%20Princess%20Pussy%20Is%20God	6VCeywT4JeawuZOUkQ1okx	TRUE	205533	TRUE	64	FALSE	-6.929	85.969	0.462	0.621	0.739	0.238	0.049	0.0718
2020-05-24T22:05:00Z	We Are The People	Empire Of The Sun	Walking On A Dream	FALSE	NA	artist:Empire%20Of%20The%20Sun%20track:We%20Are%20The%20People	https://play.spotify.com/search/results/artist:Empire%20Of%20The%20Sun%20track:We%20Are%20The%20People	Empire%20Of%20The%20Sun%20We%20Are%20The%20People	https://www.youtube.com/results?search_query=Empire%20Of%20The%20Sun%20We%20Are%20The%20People	3zEN0ii6s4DHHBpnTp3RP7	TRUE	267373	FALSE	64	FALSE	-5.404	122.989	0.534	0.781	0.675	0.0306	0.0801	0.422
2020-05-24T22:10:00Z	Dreams	Fleetwood Mac	Rumours	FALSE	NA	artist:Fleetwood%20Mac%20track:Dreams	https://play.spotify.com/search/results/artist:Fleetwood%20Mac%20track:Dreams	Fleetwood%20Mac%20Dreams	https://www.youtube.com/results?search_query=Fleetwood%20Mac%20Dreams	0ofHAoxe9vBkTCp2UQIavz	TRUE	257800	FALSE	80	TRUE	-9.744	120.151	0.789	0.492	0.828	0.0276	0.0644	0.128
2020-05-24T22:16:00Z	Gina Works At Hearts	DZ Deathrays	Black Rat	TRUE	https://www.triplejunearthed.com/node/69391	artist:DZ%20Deathrays%20track:Gina%20Works%20At%20Hearts	https://play.spotify.com/search/results/artist:DZ%20Deathrays%20track:Gina%20Works%20At%20Hearts	DZ%20Deathrays%20Gina%20Works%20At%20Hearts	https://www.youtube.com/results?search_query=DZ%20Deathrays%20Gina%20Works%20At%20Hearts	3kq7FM2Ot4S1y4Gh5IPpii	TRUE	217346	TRUE	43	TRUE	-3.948	169.091	0.337	0.958	0.375	0.101	2.93e-5	0.248
2020-05-24T22:20:00Z	Witchcraft	Pendulum	Immersion	FALSE	NA	artist:Pendulum%20track:Witchcraft	https://play.spotify.com/search/results/artist:Pendulum%20track:Witchcraft	Pendulum%20Witchcraft	https://www.youtube.com/results?search_query=Pendulum%20Witchcraft	4Y2glvLjQGOb4dXnwm1hQf	TRUE	252786	FALSE	61	TRUE	-3.139	174.038	0.182	0.969	0.42	0.0581	2.84e-5	0.379
2020-05-24T22:26:00Z	Welcome to the Black Parade	My Chemical Romance	The Black Parade	FALSE	NA	artist:My%20Chemical%20Romance%20track:Welcome%20to%20the%20Black%20Parade	https://play.spotify.com/search/results/artist:My%20Chemical%20Romance%20track:Welcome%20to%20the%20Black%20Parade	My%20Chemical%20Romance%20Welcome%20to%20the%20Black%20Parade	https://www.youtube.com/results?search_query=My%20Chemical%20Romance%20Welcome%20to%20the%20Black%20Parade	6wThHqs4np9cLpcNqJ2zN5	TRUE	311106	FALSE	46	TRUE	-4.103	96.95	0.236	0.905	0.217	0.0752	2.89e-4	0.222
2020-05-24T22:36:00Z	Dead Horse	Hayley Williams	Petals For Armor	FALSE	NA	artist:Hayley%20Williams%20track:Dead%20Horse	https://play.spotify.com/search/results/artist:Hayley%20Williams%20track:Dead%20Horse	Hayley%20Williams%20Dead%20Horse	https://www.youtube.com/results?search_query=Hayley%20Williams%20Dead%20Horse	5RdkyZw1KQ1v0EbquUAsx2	TRUE	199412	FALSE	67	TRUE	-4.587	90.014	0.59	0.787	0.737	0.0525	0.121	0.114
2020-05-24T22:40:00Z	These Walls	Kendrick Lamar	To Pimp A Butterfly	FALSE	NA	artist:Kendrick%20Lamar%20track:These%20Walls	https://play.spotify.com/search/results/artist:Kendrick%20Lamar%20track:These%20Walls	Kendrick%20Lamar%20These%20Walls	https://www.youtube.com/results?search_query=Kendrick%20Lamar%20These%20Walls	7uWVT3UkCAZyANvv0bdyQn	TRUE	300973	TRUE	63	TRUE	-5.233	108.005	0.373	0.489	0.752	0.137	0.11	0.202
2020-05-24T22:46:00Z	I'll Make A Man Out Of You	Donny Osmond	Mulan	FALSE	NA	artist:Donny%20Osmond%20track:I'll%20Make%20A%20Man%20Out%20Of%20You	https://play.spotify.com/search/results/artist:Donny%20Osmond%20track:I'll%20Make%20A%20Man%20Out%20Of%20You	Donny%20Osmond%20I%27ll%20Make%20A%20Man%20Out%20Of%20You	https://www.youtube.com/results?search_query=Donny%20Osmond%20I%27ll%20Make%20A%20Man%20Out%20Of%20You	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-05-24T22:52:00Z	LDN	Lily Allen	Alright, Still...	FALSE	NA	artist:Lily%20Allen%20track:LDN	https://play.spotify.com/search/results/artist:Lily%20Allen%20track:LDN	Lily%20Allen%20LDN	https://www.youtube.com/results?search_query=Lily%20Allen%20LDN	3ZVMF3efMRiyFZbSQmonMe	TRUE	190773	FALSE	46	TRUE	-7.548	100.042	0.9	0.609	0.678	0.0267	0.0167	0.38
2020-05-24T22:56:00Z	Jellyfish	Slowly Slowly	Jellyfish	TRUE	https://www.triplejunearthed.com/node/283731	artist:Slowly%20Slowly%20track:Jellyfish	https://play.spotify.com/search/results/artist:Slowly%20Slowly%20track:Jellyfish	Slowly%20Slowly%20Jellyfish	https://www.youtube.com/results?search_query=Slowly%20Slowly%20Jellyfish	0tqt5vumbJa3P0SlWkJqlh	TRUE	196406	TRUE	45	TRUE	-5.071	128.033	0.913	0.687	0.706	0.0331	0.00887	0.162
2020-05-24T23:03:00Z	On Our Own	Lime Cordiale	On Our Own	TRUE	https://www.triplejunearthed.com/node/144546	artist:Lime%20Cordiale%20track:On%20Our%20Own	https://play.spotify.com/search/results/artist:Lime%20Cordiale%20track:On%20Our%20Own	Lime%20Cordiale%20On%20Our%20Own	https://www.youtube.com/results?search_query=Lime%20Cordiale%20On%20Our%20Own	6tnedmxMVEHzPJfWucWzHo	TRUE	216636	FALSE	62	TRUE	-7.271	125.933	0.772	0.692	0.705	0.0303	0.00149	0.137
2020-05-24T23:10:00Z	Levels	Avicii	Levels	FALSE	NA	artist:Avicii%20track:Levels	https://play.spotify.com/search/results/artist:Avicii%20track:Levels	Avicii%20Levels	https://www.youtube.com/results?search_query=Avicii%20Levels	5UqCQaDshqbIk3pkhy4Pjg	TRUE	199906	FALSE	74	FALSE	-5.941	126.04	0.464	0.889	0.584	0.0343	0.0462	0.309
2020-05-24T23:15:00Z	Nightmare	Halsey	Halsey	FALSE	NA	artist:Halsey%20track:Nightmare	https://play.spotify.com/search/results/artist:Halsey%20track:Nightmare	Halsey%20Nightmare	https://www.youtube.com/results?search_query=Halsey%20Nightmare	340UVheS8z3ncW9TTUhAbc	TRUE	231998	TRUE	74	FALSE	-5.075	146.11	0.538	0.622	0.611	0.0734	0.0188	0.359
2020-05-24T23:18:00Z	Baby, I'm Getting Better	Gyroscope	Cohesion	FALSE	NA	artist:Gyroscope%20track:Baby,%20I'm%20Getting%20Better	https://play.spotify.com/search/results/artist:Gyroscope%20track:Baby,%20I'm%20Getting%20Better	Gyroscope%20Baby,%20I%27m%20Getting%20Better	https://www.youtube.com/results?search_query=Gyroscope%20Baby,%20I%27m%20Getting%20Better	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-05-24T23:22:00Z	Lost	Frank Ocean	Channel Orange	FALSE	NA	artist:Frank%20Ocean%20track:Lost	https://play.spotify.com/search/results/artist:Frank%20Ocean%20track:Lost	Frank%20Ocean%20Lost	https://www.youtube.com/results?search_query=Frank%20Ocean%20Lost	4L7jMAP8UcIe309yQmkdcO	TRUE	234093	TRUE	74	TRUE	-4.892	123.061	0.497	0.603	0.913	0.226	0.0272	0.167
2020-05-24T23:28:00Z	Unlock It {Ft. Kim Petras, Jay Park}	Charli XCX	Pop 2	FALSE	NA	artist:Charli%20XCX%20track:Unlock%20It%20%7BFt.%20Kim%20Petras,%20Jay%20Park%7D	https://play.spotify.com/search/results/artist:Charli%20XCX%20track:Unlock%20It%20%7BFt.%20Kim%20Petras,%20Jay%20Park%7D	Charli%20XCX%20Unlock%20It%20{Ft.%20Kim%20Petras,%20Jay%20Park}	https://www.youtube.com/results?search_query=Charli%20XCX%20Unlock%20It%20{Ft.%20Kim%20Petras,%20Jay%20Park}	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-05-24T23:32:00Z	Can't Get Enough	Bugs	Can't Get Enough	TRUE	https://www.triplejunearthed.com/node/3190431	artist:Bugs%20track:Can't%20Get%20Enough	https://play.spotify.com/search/results/artist:Bugs%20track:Can't%20Get%20Enough	Bugs%20Can%27t%20Get%20Enough	https://www.youtube.com/results?search_query=Bugs%20Can%27t%20Get%20Enough	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-05-24T23:35:00Z	Ratchet	Bloc Party	The Nextwave Sessions	FALSE	NA	artist:Bloc%20Party%20track:Ratchet	https://play.spotify.com/search/results/artist:Bloc%20Party%20track:Ratchet	Bloc%20Party%20Ratchet	https://www.youtube.com/results?search_query=Bloc%20Party%20Ratchet	4yvAWsGChlngfC048kVI4t	TRUE	198017	FALSE	11	TRUE	-5.662	138.023	0.861	0.736	0.744	0.172	0.00772	0.0749
2020-05-24T23:39:00Z	Heart Of Glass	Blondie	Heart Of Glass	FALSE	NA	artist:Blondie%20track:Heart%20Of%20Glass	https://play.spotify.com/search/results/artist:Blondie%20track:Heart%20Of%20Glass	Blondie%20Heart%20Of%20Glass	https://www.youtube.com/results?search_query=Blondie%20Heart%20Of%20Glass	5lQOzJmQladWC4kLQClssB	TRUE	252893	FALSE	37	TRUE	-8.027	114.686	0.441	0.68	0.728	0.0338	0.0011	0.0725
2020-05-24T23:46:00Z	WOKEUPINJAPAN	Agung Mango	WOKEUPINJAPAN	TRUE	https://www.triplejunearthed.com/node/8116926	artist:Agung%20Mango%20track:WOKEUPINJAPAN	https://play.spotify.com/search/results/artist:Agung%20Mango%20track:WOKEUPINJAPAN	Agung%20Mango%20WOKEUPINJAPAN	https://www.youtube.com/results?search_query=Agung%20Mango%20WOKEUPINJAPAN	7AiUg89J4j35uuuQebMnfG	TRUE	181655	TRUE	30	FALSE	-5.133	145.151	0.593	0.789	0.682	0.417	0.389	0.169
2020-05-24T23:49:00Z	The Seed	AURORA	The Seed	FALSE	NA	artist:AURORA%20track:The%20Seed	https://play.spotify.com/search/results/artist:AURORA%20track:The%20Seed	AURORA%20The%20Seed	https://www.youtube.com/results?search_query=AURORA%20The%20Seed	7z6K6NDNgZPfn63kfYqAiT	TRUE	266969	FALSE	42	FALSE	-9.477	132.76	0.0866	0.39	0.277	0.0331	0.0103	0.144
2020-05-24T23:53:00Z	Pineapple Head	Crowded House	Together Alone	FALSE	NA	artist:Crowded%20House%20track:Pineapple%20Head	https://play.spotify.com/search/results/artist:Crowded%20House%20track:Pineapple%20Head	Crowded%20House%20Pineapple%20Head	https://www.youtube.com/results?search_query=Crowded%20House%20Pineapple%20Head	4Mnvy3IIhtdtLCInj1know	TRUE	207200	FALSE	33	FALSE	-9.385	63.886	0.684	0.507	0.435	0.026	0.303	0.314
2020-05-24T23:55:00Z	All My Friends	Great Gable	All My Friends	TRUE	https://www.triplejunearthed.com/node/4597631	artist:Great%20Gable%20track:All%20My%20Friends	https://play.spotify.com/search/results/artist:Great%20Gable%20track:All%20My%20Friends	Great%20Gable%20All%20My%20Friends	https://www.youtube.com/results?search_query=Great%20Gable%20All%20My%20Friends	4dubRkWBWpYKviADvMYgv1	TRUE	282746	FALSE	46	TRUE	-7.016	79.982	0.595	0.757	0.54	0.0397	0.0297	0.0855
2020-05-25T00:04:00Z	Energy	Stace Cadet & KLP	Energy	FALSE	NA	artist:Stace%20Cadet%20&%20KLP%20track:Energy	https://play.spotify.com/search/results/artist:Stace%20Cadet%20&%20KLP%20track:Energy	Stace%20Cadet%20&%20KLP%20Energy	https://www.youtube.com/results?search_query=Stace%20Cadet%20&%20KLP%20Energy	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-05-25T00:08:00Z	Black & Gold	Sam Sparro	Black & Gold	FALSE	NA	artist:Sam%20Sparro%20track:Black%20&%20Gold	https://play.spotify.com/search/results/artist:Sam%20Sparro%20track:Black%20&%20Gold	Sam%20Sparro%20Black%20&%20Gold	https://www.youtube.com/results?search_query=Sam%20Sparro%20Black%20&%20Gold	6lT26Dq7aEwOjXTZzkBjSO	TRUE	212360	FALSE	54	FALSE	-5.65	135.968	0.42	0.703	0.383	0.0763	0.00116	0.112
